word,length,pos,has_okina,has_kahako,bare_form,definition
a,1,conj,0,0,a,and (used between sentences)
e,1,particle,0,0,e,used to mark the following verb as an infinitive; to
i,1,particle,0,0,i,used to mark the following (noun or noun phrase) as a direct object
o,1,conj,0,0,o,"or, lest"
ā,1,prep,0,1,a,"when, at the same time as"
ō,1,noun,0,1,o,"food, provisions, rations"
ū,1,noun,0,1,u,breast
ai,2,verb,0,0,ai,to have sexual intercourse; to copulate
ao,2,noun,0,0,ao,light
au,2,pron,0,0,au,I (personal pronoun)
bē,2,noun,0,1,be,The name of the Latin script letter B/b.
dē,2,noun,0,1,de,The name of the Latin script letter D/d.
ea,2,noun,0,0,ea,"sovereignty, rule"
gā,2,noun,0,1,ga,The name of the Latin script letter G/g.
hā,2,num,0,1,ha,four
hē,2,noun,0,1,he,caterpillar (insect)
hō,2,verb,0,1,ho,"to give, transfer"
hū,2,verb,0,1,hu,"to rise, swell, inflate"
ia,2,det,0,0,ia,"this, that"
iā,2,particle,0,1,ia,"object marker of a verb, used before personal pronouns and personal names"
ko,2,prep,0,0,ko,"of, belonging to first part of possessive constructions, o-type"
kā,2,verb,0,1,ka,"to strike, hit, thrust, dash, hurl (especially with a quick hard stroke)"
kē,2,noun,0,1,ke,complaint
kī,2,noun,0,1,ki,ti (Cordyline fruticosa)
kō,2,noun,0,1,ko,sugar cane (Saccharum officinarum)
kū,2,verb,0,1,ku,"to stand, to rise"
lā,2,noun,0,1,la,sail
ma,2,prep,0,0,ma,"in, at"
me,2,prep,0,0,me,with
mū,2,noun,0,1,mu,any destructive insect
na,2,prep,0,0,na,"for, belonging to, by"
no,2,prep,0,0,no,"for, belonging to, from"
nā,2,verb,0,1,na,"calm, quieted"
nō,2,particle,0,1,no,"very, quite, indeed Used to intensify the preceding word"
nū,2,noun,0,1,nu,grunt
ou,2,pron,0,0,ou,"yours, your Second person singular possessive, o-type."
pā,2,noun,0,1,pa,"fence, wall, enclosure"
pī,2,noun,0,1,pi,stinginess
pō,2,noun,0,1,po,"night, period of darkness after the evening"
pū,2,noun,0,1,pu,"tree, cluster of several stalks"
rō,2,noun,0,1,ro,The name of the Latin script letter R/r.
sā,2,noun,0,1,sa,The name of the Latin script letter S/s.
sē,2,noun,0,1,se,The name of the Latin script letter C/c.
tī,2,noun,0,1,ti,The name of the Latin script letter T/t.
ua,2,particle,0,0,ua,used before a verb to denote completed action
wā,2,verb,0,1,wa,"to make noise, to roar"
wē,2,noun,0,1,we,The name of the Latin script letter W/w.
wī,2,noun,0,1,wi,famine
āu,2,pron,0,1,au,"yours, your Second person singular possessive, a-type."
ʻo,2,particle,1,0,o,Placed at the beginning of nominative phrases to signify that they are declarative
ʻā,2,noun,1,1,a,"fire, burning"
ʻē,2,intj,1,1,e,yes
ʻī,2,noun,1,1,i,saying
ʻō,2,noun,1,1,o,special planted stick for husking coconuts
ʻū,2,noun,1,1,u,"grief, sorrow"
aha,3,pron,0,0,aha,what?
ahi,3,noun,0,0,ahi,fire (oxidation reaction)
aho,3,noun,0,0,aho,"fishing line, cord"
ahu,3,noun,0,0,ahu,"heap, pile, mound"
aia,3,particle,0,0,aia,Used at the beginning of a sentence that describes the location (in space or time) of the subject.
aka,3,verb,0,0,aka,to appear bright
ake,3,noun,0,0,ake,liver (organ of the body)
ako,3,noun,0,0,ako,thatching
aku,3,noun,0,0,aku,"bonito, skipjack tuna (Katsuwonus pelamis)"
akā,3,conj,0,1,aka,but
ala,3,noun,0,0,ala,"way, path, road"
alo,3,noun,0,0,alo,front (facing side)
ama,3,noun,0,0,ama,outrigger float
amo,3,noun,0,0,amo,burden
ana,3,noun,0,0,ana,"cave, cavern"
ane,3,noun,0,0,ane,mite (insect)
ani,3,verb,0,0,ani,to blow softly (as a breeze)
ano,3,noun,0,0,ano,"awe, reverence, peacefulness, sacredness, holiness"
anu,3,verb,0,0,anu,to be cold
auē,3,intj,0,1,aue,wow
awa,3,noun,0,0,awa,"channel, passage"
aʻa,3,noun,1,0,aa,root (of plant)
aʻe,3,noun,1,0,ae,"any of several native Hawaiian trees (Sapindus spp., Zanthoxylum spp.)"
aʻo,3,noun,1,0,ao,instruction
aʻu,3,pron,1,0,au,"mine, my First person singular possessive, a-type."
emi,3,verb,0,0,emi,"to diminish, to reduce, to decrease, to become smaller"
eʻe,3,verb,1,0,ee,"to get on, to board"
hae,3,verb,0,0,hae,to tear
hai,3,verb,0,0,hai,"to offer, to sacrifice"
hao,3,noun,0,0,hao,iron; general name for metal tools; a bit
hau,3,noun,0,0,hau,dew
hea,3,verb,0,0,hea,to call
heo,3,verb,0,0,heo,"proud, haughty"
heu,3,noun,0,0,heu,"down, fuzz"
hio,3,verb,0,0,hio,to blow in gusts
hiu,3,verb,0,0,hiu,"to throw or fling violently, haul energetically with ropes"
hiō,3,verb,0,1,hio,to lean
hoa,3,noun,0,0,hoa,"friend, companion, associate, colleague, comrade, partner, mate, peer"
hoe,3,noun,0,0,hoe,oar
hou,3,verb,0,0,hou,new (recently made or created)
hua,3,noun,0,0,hua,fruit
hue,3,noun,0,0,hue,"bottle gourd, Lagenaria siceraria"
hui,3,noun,0,0,hui,"club, organization"
hūi,3,intj,0,1,hui,halloo
iho,3,noun,0,0,iho,"core, pith"
ihu,3,noun,0,0,ihu,nose (organ of the face)
ili,3,verb,0,0,ili,to run aground
ilo,3,noun,0,0,ilo,"worm, maggot, grub"
imu,3,noun,0,0,imu,"imu (a traditional Hawaiian underground oven, consisting mainly of a hole in the ground)"
inu,3,noun,0,0,inu,a drink
ipu,3,noun,0,0,ipu,bottle gourd (Lagenaria siceraria)
iwa,3,num,0,0,iwa,"nine, ninth"
iwi,3,noun,0,0,iwi,bone
iʻa,3,noun,1,0,ia,fish (vertebrate animal)
kae,3,noun,0,0,kae,excrement
kai,3,noun,0,0,kai,sea
kao,3,noun,0,0,kao,"fishspear, javelin"
kau,3,noun,0,0,kau,season
kea,3,verb,0,0,kea,white
keu,3,verb,0,0,keu,"remaining, spare, surplus, extra"
kia,3,noun,0,0,kia,"pillar, post"
kio,3,verb,0,0,kio,"to cheep, to chirp"
kiu,3,noun,0,0,kiu,"the name of a strong, moderately cold northwesterly wind"
koa,3,noun,0,0,koa,warrior
koi,3,verb,0,0,koi,to urge
kou,3,det,0,0,kou,"your second person singular, o-type"
kua,3,noun,0,0,kua,back
kui,3,verb,0,0,kui,"to thread, to string together"
kāu,3,det,0,1,kau,"your second person singular possessive, a-form"
lae,3,noun,0,0,lae,forehead
lau,3,noun,0,0,lau,leaf; frond; greens
lei,3,noun,0,0,lei,"lei, a wreath of flowers or leaves"
leo,3,noun,0,0,leo,voice; sound
lio,3,noun,0,0,lio,horse
liu,3,noun,0,0,liu,"bilgewater, leakage"
loa,3,noun,0,0,loa,"distance, length"
lua,3,num,0,0,lua,two
mai,3,particle,0,0,mai,"hither, this way, towards the speaker"
mao,3,verb,0,0,mao,"to clear up (e.g. of cloudy weather), alleviate"
mau,3,verb,0,0,mau,"always, perpetual"
mea,3,noun,0,0,mea,"thing, object"
mio,3,verb,0,0,mio,to move swiftly
moa,3,noun,0,0,moa,chicken or similar fowl
moe,3,verb,0,0,moe,to sleep
mua,3,noun,0,0,mua,"before, in front of, first, ahead, forward, in advance, future, front"
nae,3,noun,0,0,nae,shortness of breath
neo,3,verb,0,0,neo,"bare, desolate"
niu,3,noun,0,0,niu,coconut (fruit of coco palm)
noa,3,noun,0,0,noa,release from taboo restrictions
noi,3,noun,0,0,noi,request
nou,3,pron,0,0,nou,"yours, for you (second person singular)"
nui,3,noun,0,0,nui,"plenty, a lot, size, dimension, number, area"
nāu,3,pron,0,1,nau,"yours, for you, by you (second person singular)"
oka,3,noun,0,0,oka,"dregs, sediment, grounds"
oki,3,verb,0,0,oki,to finish
ola,3,noun,0,0,ola,existence
oli,3,noun,0,0,oli,A chant
olo,3,verb,0,0,olo,"to rub back and forth, to grate"
omo,3,verb,0,0,omo,suck
ona,3,pron,0,0,ona,"his, her, its (o-type possessive)"
one,3,noun,0,0,one,sand
ono,3,num,0,0,ono,six
oʻo,3,verb,1,0,oo,"mature, ripe"
oʻu,3,pron,1,0,ou,"my, mine First person singular possessive, o-type."
pae,3,verb,0,0,pae,"to come ashore, to land"
pau,3,verb,0,0,pau,"finished, done"
pea,3,noun,0,0,pea,bear
pia,3,noun,0,0,pia,Polynesian arrowroot (Tacca leontopetaloides)
pio,3,verb,0,0,pio,extinguished
poe,3,verb,0,0,poe,"round, rounded"
poi,3,noun,0,0,poi,a porridge-like substance made from cooked and ground taro corm mixed with water; a traditional Hawaiian staple food
pua,3,noun,0,0,pua,flower
tou,3,det,0,0,tou,Niʻihau form of kou (“your”)
uhi,3,noun,0,0,uhi,yam (Dioscorea)
uka,3,noun,0,0,uka,inland (interior part of a country)
uku,3,noun,0,0,uku,"payment, reward, prize, commission, compensation"
ula,3,noun,0,0,ula,spiny lobster
ule,3,noun,0,0,ule,penis
uli,3,verb,0,0,uli,"having any dark color (blue, green, black, etc.)"
ulu,3,noun,0,0,ulu,growth
umō,3,noun,0,1,umo,"moo, characteristic lowing sound made by cattle."
una,3,noun,0,0,una,shell or carapace of a turtle made of conjoined scutes
une,3,noun,0,0,une,lever
uʻi,3,noun,1,0,ui,"youth, youthful hero or heroine"
wae,3,noun,0,0,wae,leg
wai,3,noun,0,0,wai,"water, especially of fresh sources"
weo,3,noun,0,0,weo,redness
āna,3,pron,0,1,ana,"his, hers, its (a-type possessive)"
ʻae,3,intj,1,0,ae,yes
ʻai,3,noun,1,0,ai,"food; in particular, any food that is not fish"
ʻau,3,noun,1,0,au,handle
ʻia,3,particle,1,0,ia,used after a verb to denote passive voice
ʻio,3,noun,1,0,io,Hawaiian hawk (Buteo solitarius)
ʻoe,3,pron,1,0,oe,second person singular; you
ʻoi,3,verb,1,0,oi,sharp
ʻou,3,verb,1,0,ou,to reach out for
Akua,4,noun,0,0,akua,God (Christian)
Kuna,4,noun,0,0,kuna,an ancient eel-like dragon
Pākē,4,noun,0,1,pake,a Chinese person
Pīkī,4,verb,0,1,piki,Fijian
aeʻo,4,noun,1,0,aeo,"A species of stilt (bird) native to Hawaii, Himantopus knudseni"
aina,4,noun,0,0,aina,coition
akua,4,noun,0,0,akua,god (deity)
auau,4,verb,0,0,auau,to walk lightly and swiftly
haka,4,noun,0,0,haka,"shelf, rack"
haku,4,noun,0,0,haku,"lord, master, overseer, employer, owner, possessor, proprietor, luna"
hala,4,noun,0,0,hala,sin
hale,4,noun,0,0,hale,"house, building"
hali,4,verb,0,0,hali,to carry
hame,4,noun,0,0,hame,Either of two species in the genus Antidesma endemic to Hawai'i:
hamo,4,verb,0,0,hamo,to rub (on)
hana,4,noun,0,0,hana,"work, labor, job, employment, occupation, duty, activity, function, practice, incident, action"
hano,4,verb,0,0,hano,"glorious, honored"
hanu,4,noun,0,0,hanu,breath
hapa,4,noun,0,0,hapa,half of something
haʻa,4,verb,1,0,haa,low
haʻi,4,verb,1,0,hai,"to break, to snap"
hele,4,verb,0,0,hele,"to walk, move"
helo,4,noun,0,0,helo,red (color/colour)
helu,4,noun,0,0,helu,number
hema,4,noun,0,0,hema,left (not right)
hene,4,verb,0,0,hene,to snicker
hepa,4,noun,0,0,hepa,"idiot, imbecile"
hewa,4,noun,0,0,hewa,mistake
heʻe,4,noun,1,0,hee,octopus
hihi,4,verb,0,0,hihi,"to entangle, to intertwine"
hiki,4,intj,0,0,hiki,all right
hiku,4,num,0,0,hiku,"seven, seventh"
hili,4,noun,0,0,hili,braid
hilo,4,verb,0,0,hilo,to twist
hilu,4,noun,0,0,hilu,rainbow wrasse (marine fish of the genus Coris)
hina,4,noun,0,0,hina,gray hair
hinu,4,noun,0,0,hinu,oil; grease
hipa,4,noun,0,0,hipa,sheep
hiwa,4,verb,0,0,hiwa,entirely black
hiʻi,4,verb,1,0,hii,to hold or carry in the arms; to bear
hiʻu,4,noun,1,0,hiu,fish tail
hoai,4,noun,0,0,hoai,joint
hoki,4,noun,0,0,hoki,mule
hoku,4,noun,0,0,hoku,Night of the full moon
hola,4,verb,0,0,hola,to spread
holo,4,verb,0,0,holo,"to go, run, slide, progress"
hono,4,noun,0,0,hono,harbor
honu,4,noun,0,0,honu,turtle
hope,4,noun,0,0,hope,"back, rear, (of a vessel) aft"
hoʻi,4,particle,1,0,hoi,"Used to intensify the preceding word or phrase: indeed, just; also, too, besides; possibly"
hoʻā,4,verb,1,1,hoa,"to turn on, switch on, power on (a device)"
huhu,4,noun,0,0,huhu,termite (a wood boring insect)
huhū,4,noun,0,1,huhu,anger
huki,4,noun,0,0,huki,"any fit: convulsion, stroke, spasm"
huku,4,noun,0,0,huku,protuberance; lump
hula,4,noun,0,0,hula,a form of dance native to the Hawaiian Islands
huli,4,verb,0,0,huli,to turn
hulu,4,noun,0,0,hulu,hair (the collection or mass of filaments growing from the skin of humans and animals)
huna,4,noun,0,0,huna,"particle, speck"
huʻa,4,noun,1,0,hua,"foam, froth, bubble(s)"
hāhā,4,noun,0,1,haha,Any Gunnera species.
hālō,4,verb,0,1,halo,"to peer, to peep"
hāna,4,verb,0,1,hana,to be alert
hāpa,4,noun,0,1,hapa,harp
hēkī,4,noun,0,1,heki,jet
hēʻī,4,noun,1,1,hei,papaya
hīhī,4,verb,0,1,hihi,to hiss
hōkū,4,noun,0,1,hoku,star (luminous celestial body)
hōʻā,4,verb,1,1,hoa,"to burn, set on fire, ignite, alight"
hūnā,4,verb,0,1,huna,"to hide, to conceal"
iaʻu,4,pron,1,0,iau,me (object of a verb)
ieta,4,noun,0,0,ieta,The name of the Latin script letter Y/y.
iota,4,noun,0,0,iota,The name of the Latin script letter J/j.
kaha,4,verb,0,0,kaha,"to cut open, to slice lengthwise"
kahe,4,verb,0,0,kahe,"to flow, to trickle"
kahi,4,num,0,0,kahi,"one, single; some"
kahu,4,noun,0,0,kahu,guardian
kaka,4,verb,0,0,kaka,to rinse
kala,4,noun,0,0,kala,"horn, spike, thorn"
kali,4,verb,0,0,kali,to wait
kalo,4,noun,0,0,kalo,taro; colocasia
kama,4,noun,0,0,kama,child regardless of sex
kani,4,noun,0,0,kani,"cry, moan"
kanu,4,verb,0,0,kanu,to plant
kapa,4,noun,0,0,kapa,"rim, edge"
kapu,4,noun,0,0,kapu,"taboo, prohibition"
kaua,4,noun,0,0,kaua,"a war, battle, army"
kauā,4,noun,0,1,kaua,"outcast, member of the ancient Hawaiian slave class"
kawa,4,noun,0,0,kawa,"leaping place, precipice"
kaʻa,4,noun,1,0,kaa,car (automobile)
kaʻe,4,verb,1,0,kae,"to smudge, to besmear"
kaʻi,4,verb,1,0,kai,to lead
kaʻo,4,verb,1,0,kao,"dry, arid"
kaʻu,4,det,1,0,kau,"my first person singular possessive, a-form"
keha,4,noun,0,0,keha,height
keka,4,noun,0,0,keka,"sex, gender"
kepa,4,verb,0,0,kepa,"to look sideways, to turn to the side"
kesa,4,noun,0,0,kesa,The name of the Latin script letter X/x.
keʻa,4,noun,1,0,kea,horizontal boom connecting two hulls or outriggers of a waʻa
kika,4,verb,0,0,kika,slippery
kiki,4,noun,0,0,kiki,plug
kiko,4,verb,0,0,kiko,to peck
kikī,4,verb,0,1,kiki,to flow swiftly
kila,4,noun,0,0,kila,high place
kili,4,verb,0,0,kili,"to rain gently, to drizzle"
kilo,4,verb,0,0,kilo,"to watch, gaze"
kime,4,noun,0,0,kime,team
kimu,4,noun,0,0,kimu,precipitation
kini,4,noun,0,0,kini,a multitude
kino,4,noun,0,0,kino,body
kipa,4,verb,0,0,kipa,"to visit, to call"
kipi,4,verb,0,0,kipi,to dig with a sharp tool
kiʻe,4,verb,1,0,kie,"high, lofty"
kiʻi,4,noun,1,0,kii,"a picture, image, drawing"
kohe,4,noun,0,0,kohe,"crease, groove"
koho,4,noun,0,0,koho,election
kohu,4,noun,0,0,kohu,sap of a plant
koiū,4,noun,0,1,koiu,soy sauce
koke,4,particle,0,0,koke,"quick(ly), soon"
koko,4,noun,0,0,koko,blood
kole,4,verb,0,0,kole,"raw, inflamed, red"
kolo,4,verb,0,0,kolo,to crawl
kolu,4,num,0,0,kolu,three
komo,4,noun,0,0,komo,"entrance, entry"
kona,4,det,0,0,kona,"his, her, its third person singular possessive, o-type"
kono,4,noun,0,0,kono,invitation
konā,4,verb,0,1,kona,"hard, unyielding"
kopa,4,noun,0,0,kopa,soap
kope,4,noun,0,0,kope,coffee
koʻa,4,noun,1,0,koa,coral
koʻe,4,noun,1,0,koe,worm
koʻo,4,noun,1,0,koo,brace; support; prop; wand
koʻu,4,det,1,0,kou,"my first person singular possessive, o-type"
kuhi,4,verb,0,0,kuhi,to point at
kuka,4,noun,0,0,kuka,coat
kuke,4,verb,0,0,kuke,to cook
kuki,4,noun,0,0,kuki,cookie
kula,4,noun,0,0,kula,"field, pasture"
kule,4,verb,0,0,kule,inactive
kuli,4,verb,0,0,kuli,to be deaf (not hearing)
kulu,4,noun,0,0,kulu,a drop
kumu,4,noun,0,0,kumu,teacher
kuna,4,noun,0,0,kuna,a variety of freshwater eel
kunu,4,verb,0,0,kunu,to broil
kupu,4,verb,0,0,kupu,"to sprout, to germinate"
kuʻi,4,verb,1,0,kui,"to pound, to strike"
kuʻu,4,det,1,0,kuu,"my first person singular possessive, both o- and a-type"
kāki,4,noun,0,1,kaki,"charge, bill"
kālā,4,noun,0,1,kala,dollar
kāna,4,det,0,1,kana,"his, her, its third person singular possessive, a-type"
kāne,4,noun,0,1,kane,male
kāua,4,pron,0,1,kaua,First person dual inclusive
kēia,4,det,0,1,keia,this
kēlā,4,det,0,1,kela,that
kēnā,4,det,0,1,kena,that (close to the speaker)
kīkā,4,noun,0,1,kika,guitar
kīkī,4,verb,0,1,kiki,to shoot
kōhi,4,verb,0,1,kohi,"to break or split something off with a blade, such as a shovel"
kōkē,4,noun,0,1,koke,"to strike, to hit"
kōkō,4,verb,0,1,koko,to fulfill
kūkā,4,verb,0,1,kuka,"to consult, to confer, to deliberate, to discuss"
kūlā,4,noun,0,1,kula,third person
kūnā,4,noun,0,1,kuna,second person
kūʻē,4,verb,1,1,kue,to oppose; to resist
lahi,4,noun,0,0,lahi,"thinness, frailty"
laka,4,verb,0,0,laka,"tame, gentle, attracted to, fond of"
lala,4,verb,0,0,lala,to warm (as over fire)
